Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
 Moabit,52.5346789,13.3344781,Zunftwirtschaft,52.52748502217075,13.338249921798704,German Restaurant
 Moabit,52.5346789,13.3344781,geh Veg,52.53217798550378,13.342044124870919,Vegetarian / Vegan Restaurant
 Moabit,52.5346789,13.3344781,Der Hofladen,52.527938169500885,13.338569216491486,German Restaurant
 Moabit,52.5346789,13.3344781,Delphin Fisch & Steak,52.53233,13.343766,Seafood Restaurant
 Moabit,52.5346789,13.3344781,Naninka,52.527824,13.339021,Peruvian Restaurant
 Moabit,52.5346789,13.3344781,ZamZam,52.527697137499764,13.326585917924316,Indian Restaurant
 Moabit,52.5346789,13.3344781,Kanun,52.52747397515529,13.327646647788121,Fried Chicken Joint
 Moabit,52.5346789,13.3344781,Burgerlich,52.527867,13.338765,Burger Joint
 Moabit,52.5346789,13.3344781,Big Bascha,52.527589931972564,13.327295558095226,Lebanese Restaurant
 Moabit,52.5346789,13.3344781,Ristorante La Tettoia,52.52823381983103,13.3308434860563,Italian Restaurant
 Moabit,52.5346789,13.3344781,The Poutine Kitchen,52.52794962224735,13.338791033819954,Fast Food Restaurant
 Moabit,52.5346789,13.3344781,City Chicken,52.52747408784474,13.328018140354283,Halal Restaurant
 Moabit,52.5346789,13.3344781,Honig & Senf - Burger Grill,52.52760311139755,13.326999361813002,Burger Joint
 Moabit,52.5346789,13.3344781,Rosa Lisbert,52.528001,13.338952,French Restaurant
 Moabit,52.5346789,13.3344781,Café Pfau,52.52726660224447,13.33055617842835,Breakfast Spot
 Moabit,52.5346789,13.3344781,Beussel Grill,52.533059782716215,13.32865608049043,Doner Restaurant
 Moabit,52.5346789,13.3344781,Back-Factory,52.52668022986665,13.33763986400854,Bakery
 Moabit,52.5346789,13.3344781,Food Point,52.532090821858084,13.34238142894178,Doner Restaurant
 Moabit,52.5346789,13.3344781,La Fiamma,52.527443717776826,13.329631102918592,Pizza Place
 Moabit,52.5346789,13.3344781,Beirut Express,52.527609,13.328155,Lebanese Restaurant
 Moabit,52.5346789,13.3344781,Café Zina,52.528644388173525,13.335838671803234,Café
 Moabit,52.5346789,13.3344781,San Juan,52.52654835644403,13.339376449584961,Italian Restaurant
 Moabit,52.5346789,13.3344781,Pound & Pence,52.52789,13.33865,Burger Joint
 Moabit,52.5346789,13.3344781,Pizzeria Alte Forno,52.52669038050762,13.33674803521447,Pizza Place
 Moabit,52.5346789,13.3344781,Freundliche Bäckerei,52.53314119680605,13.328357333121604,Bakery
 Moabit,52.5346789,13.3344781,McDarwich's,52.52655334766025,13.33753799586554,Burger Joint
 Moabit,52.5346789,13.3344781,Baker's Back & Coffee,52.526349517501,13.33833878765169,Bakery
 Moabit,52.5346789,13.3344781,Cafe Specht,52.53348399167537,13.34042831544453,Bakery
 Moabit,52.5346789,13.3344781,Melek Pastanesi,52.53080725032057,13.333593606948853,Bakery
 Moabit,52.5346789,13.3344781,cafe creme caramel,52.5322119975596,13.341787929495089,Café
